ID,brand,Origin of brand,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,seats,selling_price
1443,BMW,European,8,50000,Dealer,Diesel,Automatic,19.62,1998,5,1650000
1444,Mahindra,Asian,3,35000,Dealer,Diesel,Manual,15.1,2179,7,1650000
1445,Toyota,Asian,3,60000,Individual,Diesel,Manual,13.68,2393,7,1650000
1446,Kia,Asian,1,13000,Dealer,Petrol,Automatic,16.8,1497,5,1650000
1447,Tata,Asian,2,17000,Dealer,Diesel,Manual,17,1956,5,1650000
1448,Hyundai,Asian,5,49000,Dealer,Diesel,Automatic,13.01,2199,7,1650000
1449,Toyota,Asian,4,63000,Dealer,Diesel,Manual,13.68,2393,7,1650000
1450,Tata,Asian,1,5125,Dealer,Diesel,Manual,17,1956,5,1650000
1451,Hyundai,Asian,5,4400,Dealer,Diesel,Automatic,13.01,2199,7,1650000
1452,MG,Asian,2,28000,Dealer,Diesel,Manual,17.41,1956,5,1650000
1453,Audi,European,7,40000,Dealer,Diesel,Automatic,17.68,1968,5,1650000
1454,Mahindra,Asian,3,68000,Dealer,Diesel,Manual,16,2179,7,1650000
1455,Audi,European,9,40000,Dealer,Diesel,Automatic,16.55,1968,5,1650000
1456,Audi,European,7,56000,Dealer,Diesel,Automatic,17.68,1968,5,1650000
1457,Toyota,Asian,5,46000,Dealer,Diesel,Manual,13.68,2393,8,1650000
1458,BMW,European,7,41000,Dealer,Diesel,Automatic,18.88,1995,5,1650000
1459,Toyota,Asian,4,36639,Dealer,Diesel,Automatic,13.68,2393,8,1650000
1460,Audi,European,6,58000,Individual,Diesel,Automatic,20.38,1968,5,1650000
1461,Toyota,Asian,5,91771,Dealer,Diesel,Manual,13.68,2393,7,1650000
1462,Mercedes-Benz,European,7,62000,Dealer,Petrol,Manual,12.3,1796,5,1650000
1463,Toyota,Asian,4,65000,Dealer,Diesel,Manual,13.68,2393,7,1650000
1464,Hyundai,Asian,4,62450,Dealer,Diesel,Automatic,16.38,1995,5,1649000
1465,Toyota,Asian,5,58000,Dealer,Diesel,Automatic,11.36,2755,8,1649000
1466,Jeep,American,4,21356,Dealer,Diesel,Manual,17.1,1956,5,1645000
1467,Toyota,Asian,2,3500,Dealer,Petrol,Manual,14.28,1798,5,1645000
1468,Toyota,Asian,4,130000,Dealer,Diesel,Manual,13.68,2393,8,1645000
1469,Audi,European,7,84000,Dealer,Diesel,Automatic,15.73,1968,5,1645000
1470,BMW,European,10,78000,Dealer,Diesel,Automatic,16.46,2993,5,1645000
1471,Toyota,Asian,5,70000,Dealer,Diesel,Manual,13.68,2393,8,1640000
1472,Kia,Asian,2,6000,Individual,Petrol,Manual,16.1,1353,5,1635000
1473,Toyota,Asian,4,68745,Dealer,Diesel,Manual,13.68,2393,7,1631000
1474,MG,Asian,2,9293,Dealer,Petrol,Automatic,13.96,1451,5,1630000
1475,MG,Asian,2,6231,Dealer,Petrol,Automatic,13.96,1451,5,1630000
1476,Toyota,Asian,4,60000,Individual,Diesel,Manual,13.68,2393,7,1625000
1477,Toyota,Asian,5,125000,Dealer,Diesel,Manual,13.68,2393,8,1625000
1478,Honda,Asian,2,21500,Dealer,Petrol,Automatic,16.5,1799,5,1625000
1479,Toyota,Asian,7,46000,Dealer,Diesel,Automatic,12.55,2982,7,1625000
1480,Toyota,Asian,5,56000,Dealer,Diesel,Manual,13.68,2393,7,1625000
1481,Toyota,Asian,6,126000,Dealer,Diesel,Manual,13,2982,7,1625000
1482,Jeep,American,4,43726,Dealer,Diesel,Manual,17.1,1956,5,1625000
1483,Mahindra,Asian,3,9000,Individual,Diesel,Manual,15.1,2179,7,1625000
1484,Mahindra,Asian,5,15000,Dealer,Diesel,Automatic,16,2179,7,1620000
1485,Toyota,Asian,5,44236,Dealer,Diesel,Manual,12.99,2494,7,1611000
1486,Audi,European,8,35000,Dealer,Diesel,Automatic,15.73,1968,5,1610000
1487,Mahindra,Asian,3,27300,Individual,Diesel,Automatic,15.1,2179,7,1605000
1488,BMW,European,7,23746,Dealer,Diesel,Automatic,22.69,1995,5,1600000
1489,BMW,European,10,78251,Dealer,Diesel,Automatic,14.49,2993,5,1600000
1490,Toyota,Asian,6,120000,Individual,Diesel,Manual,12.55,2982,7,1600000
1491,Mercedes-Benz,European,8,177000,Individual,Diesel,Automatic,14.21,2143,5,1600000
1492,Mini,European,7,55000,Dealer,Diesel,Automatic,23.8,1998,5,1600000
1493,Toyota,Asian,5,62000,Dealer,Diesel,Automatic,11.36,2755,8,1600000
1494,Skoda,European,4,50000,Individual,Petrol,Automatic,14.7,1798,5,1600000
1495,Audi,European,8,74000,Dealer,Diesel,Automatic,17.68,1968,5,1600000
1496,Toyota,Asian,3,20000,Individual,Diesel,Manual,13.68,2393,8,1600000
1497,Jeep,American,4,35000,Individual,Diesel,Manual,17.1,1956,5,1600000
1498,BMW,European,6,74898,Dealer,Diesel,Automatic,18.88,1995,5,1600000
1499,BMW,European,7,85875,Dealer,Diesel,Automatic,13.2,1995,5,1600000
1500,Mahindra,Asian,3,23000,Individual,Diesel,Manual,15.1,2179,7,1600000
1501,Toyota,Asian,5,100000,Individual,Diesel,Manual,13.68,2393,8,1600000
1502,Volvo,European,8,95000,Dealer,Diesel,Automatic,14.7,1984,5,1600000
1503,Volvo,European,9,99000,Dealer,Diesel,Automatic,14.7,1985,5,1600000
1504,Mahindra,Asian,4,50000,Dealer,Diesel,Automatic,16,2179,7,1600000
1505,Toyota,Asian,6,132000,Dealer,Diesel,Manual,12.55,2982,7,1600000
1506,Toyota,Asian,6,60000,Individual,Diesel,Manual,13,2982,7,1600000
1507,BMW,European,12,90000,Dealer,Diesel,Automatic,15.97,2993,7,1600000
1508,Mahindra,Asian,1,20000,Individual,Diesel,Manual,15.1,2179,7,1600000
1509,Toyota,Asian,6,290000,Individual,Diesel,Automatic,12.55,2982,7,1600000
1510,Tata,Asian,2,16320,Dealer,Diesel,Manual,17,1956,5,1600000
1511,Skoda,European,5,80500,Dealer,Diesel,Automatic,19.3,1968,5,1600000
1512,Toyota,Asian,3,36000,Dealer,Diesel,Manual,13.68,2393,7,1600000
1513,BMW,European,8,50000,Dealer,Diesel,Automatic,22.48,1995,5,1600000
1514,Toyota,Asian,3,30000,Dealer,Diesel,Manual,13.68,2393,8,1600000
1515,Toyota,Asian,4,50000,Dealer,Diesel,Automatic,11.36,2755,8,1600000
1516,Toyota,Asian,7,85000,Individual,Diesel,Manual,13,2982,7,1600000
1517,BMW,European,8,80000,Dealer,Diesel,Automatic,18.88,1995,5,1600000
1518,Tata,Asian,3,36000,Individual,Diesel,Manual,17.6,2179,7,1600000
1519,Jeep,American,2,30000,Individual,Petrol,Automatic,16,1368,5,1600000
1520,Audi,European,9,70000,Dealer,Diesel,Automatic,17.68,1968,5,1600000
1521,Hyundai,Asian,6,55000,Individual,Diesel,Automatic,13.01,2199,7,1600000
1522,Toyota,Asian,4,110000,Dealer,Diesel,Automatic,11.36,2755,7,1600000
1523,BMW,European,9,32000,Individual,Diesel,Automatic,18.48,1995,5,1600000
1524,Audi,European,10,68000,Dealer,Diesel,Automatic,17.68,1968,5,1600000
1525,BMW,European,13,96000,Individual,Petrol,Automatic,10.9,2497,5,1600000
1526,Toyota,Asian,5,70000,Individual,Diesel,Manual,13.68,2393,7,1600000
1527,Hyundai,Asian,3,40000,Dealer,Petrol,Automatic,14.62,1999,5,1600000
1528,Audi,European,7,70000,Individual,Diesel,Automatic,15.73,1968,5,1600000
1529,Jeep,American,4,44000,Dealer,Diesel,Manual,16.3,1956,5,1599000
1530,Jeep,American,4,45212,Dealer,Diesel,Manual,16.3,1956,5,1598000
1531,Audi,European,6,57800,Dealer,Diesel,Automatic,20.38,1968,5,1595000
1532,Toyota,Asian,4,70000,Dealer,Diesel,Manual,13.68,2393,7,1595000
1533,Audi,European,6,26500,Dealer,Diesel,Automatic,20.38,1968,5,1595000
1534,Tata,Asian,2,18000,Dealer,Diesel,Manual,17,1956,5,1595000
1535,Hyundai,Asian,2,9915,Dealer,Diesel,Automatic,22,1582,5,1590000
1536,Toyota,Asian,4,51000,Dealer,Diesel,Automatic,11.36,2755,7,1590000
1537,Toyota,Asian,7,48000,Dealer,Diesel,Automatic,12.55,2982,7,1590000
1538,Audi,European,8,75000,Dealer,Diesel,Automatic,12.19,2967,5,1590000
1539,Audi,European,7,90000,Dealer,Diesel,Automatic,15.73,1968,5,1590000
1540,BMW,European,10,63000,Dealer,Diesel,Automatic,18.48,1995,5,1590000
1541,Mahindra,Asian,2,5000,Individual,Diesel,Manual,15.1,2179,7,1588000
1542,MG,Asian,1,1005,Dealer,Diesel,Manual,17.41,1956,5,1585000
1543,Mahindra,Asian,3,40000,Dealer,Diesel,Manual,16,2179,7,1580000
1544,Toyota,Asian,4,82000,Individual,Diesel,Manual,13.68,2393,7,1580000
1545,Toyota,Asian,5,37000,Dealer,Diesel,Automatic,11.36,2755,7,1575000
1546,Toyota,Asian,4,109000,Dealer,Diesel,Manual,13.68,2393,8,1575000
1547,Toyota,Asian,4,100000,Dealer,Diesel,Automatic,11.36,2755,7,1575000
1548,Skoda,European,5,65000,Dealer,Petrol,Automatic,14.67,1798,5,1575000
1549,Toyota,Asian,4,45000,Dealer,Diesel,Manual,13.68,2393,7,1575000
1550,Hyundai,Asian,2,23000,Dealer,Diesel,Manual,19.67,1582,5,1575000
1551,Mahindra,Asian,2,46241,Trustmark Dealer,Diesel,Manual,16,2179,7,1575000
1552,Mercedes-Benz,European,10,75000,Dealer,Diesel,Automatic,14.21,2143,5,1575000
1553,Toyota,Asian,4,71000,Individual,Diesel,Manual,13.68,2393,7,1575000
1554,Hyundai,Asian,3,13000,Individual,Petrol,Automatic,14.62,1999,5,1575000
1555,Mercedes-Benz,European,7,42005,Dealer,Diesel,Automatic,13,2143,5,1575000
1556,Honda,Asian,5,55000,Dealer,Petrol,Automatic,12,2354,5,1575000
1557,Toyota,Asian,4,65434,Dealer,Diesel,Manual,13.68,2393,7,1575000
1558,Toyota,Asian,5,35000,Dealer,Petrol,Manual,11.25,2694,7,1575000
1559,BMW,European,8,69000,Dealer,Diesel,Automatic,19.62,1998,5,1575000
1560,BMW,European,8,69000,Dealer,Diesel,Automatic,18.12,1995,5,1575000
1561,Mahindra,Asian,4,30000,Dealer,Diesel,Manual,16,2179,7,1575000
1562,Toyota,Asian,2,15000,Individual,Diesel,Manual,13.68,2393,8,1570000
1563,Honda,Asian,1,4500,Dealer,Petrol,Automatic,18.4,1498,5,1570000
1564,Mahindra,Asian,4,34000,Dealer,Diesel,Manual,16,2179,7,1570000
1565,Mercedes-Benz,European,7,149500,Dealer,Diesel,Automatic,14.84,2143,5,1565000
1566,Toyota,Asian,4,120000,Individual,Diesel,Manual,13.68,2393,8,1560000
1567,Kia,Asian,2,5000,Individual,Petrol,Manual,16.1,1353,5,1560000
1568,Audi,European,7,56000,Dealer,Diesel,Automatic,16.55,1968,5,1550000
1569,Toyota,Asian,3,57000,Dealer,Petrol,Automatic,14.28,1798,5,1550000
1570,Tata,Asian,2,15200,Dealer,Diesel,Manual,17,1956,5,1550000
1571,Audi,European,7,67700,Dealer,Diesel,Automatic,16.55,1968,5,1550000
1572,Hyundai,Asian,3,18000,Dealer,Petrol,Automatic,14.62,1999,5,1550000
1573,Audi,European,6,56897,Dealer,Diesel,Automatic,20.38,1968,5,1550000
1574,Jeep,American,4,29000,Dealer,Diesel,Manual,17.1,1956,5,1550000
1575,Toyota,Asian,6,73000,Dealer,Petrol,Automatic,12.98,2494,5,1550000
1576,Toyota,Asian,4,67000,Dealer,Diesel,Manual,13.68,2393,7,1550000
1577,Audi,European,10,85000,Individual,Diesel,Automatic,17.68,1968,5,1550000
1578,Jaguar,European,10,70000,Dealer,Diesel,Automatic,14.74,2993,5,1550000
1579,Mahindra,Asian,3,47000,Dealer,Diesel,Manual,16.36,2179,7,1550000
1580,Mercedes-Benz,European,7,51000,Dealer,Diesel,Automatic,20,2143,5,1550000
1581,Mahindra,Asian,3,40328,Dealer,Diesel,Manual,15.1,2179,7,1550000
1582,Hyundai,Asian,2,10000,Dealer,Diesel,Automatic,17.6,1582,5,1550000
1583,Volvo,European,6,39000,Dealer,Diesel,Automatic,23.3,1984,5,1550000
1584,Toyota,Asian,5,46000,Individual,Diesel,Automatic,11.36,2755,7,1550000
1585,Mahindra,Asian,2,100000,Dealer,Diesel,Manual,15.1,2179,7,1550000
1586,Toyota,Asian,4,94000,Dealer,Diesel,Manual,13.68,2393,7,1550000
1587,Tata,Asian,2,68000,Dealer,Diesel,Manual,17,1956,5,1550000
1588,BMW,European,6,30000,Individual,Diesel,Automatic,20.58,1995,5,1550000
1589,Mahindra,Asian,2,5000,Individual,Diesel,Manual,15.1,2179,7,1550000
1590,Audi,European,8,60000,Dealer,Diesel,Automatic,17.32,1968,5,1550000
1591,Hyundai,Asian,3,40000,Individual,Petrol,Manual,14.59,1999,5,1550000
1592,Toyota,Asian,4,65000,Dealer,Diesel,Automatic,11.36,2755,7,1550000
1593,Audi,European,7,22000,Dealer,Diesel,Automatic,20.38,1968,5,1550000
1594,Toyota,Asian,6,91000,Dealer,Diesel,Manual,13,2982,7,1550000
1595,Toyota,Asian,4,26000,Dealer,Petrol,Automatic,14.28,1798,5,1550000
1596,Audi,European,8,70000,Dealer,Diesel,Automatic,14.16,1968,5,1550000
1597,Jaguar,European,9,30000,Dealer,Diesel,Automatic,14.74,2993,5,1550000
1598,Mahindra,Asian,2,10000,Individual,Diesel,Manual,15.1,2179,7,1550000
1599,Toyota,Asian,4,30000,Individual,Diesel,Manual,13.68,2393,8,1550000
1600,Mini,European,6,70000,Dealer,Diesel,Automatic,16.6,1998,5,1550000
1601,Tata,Asian,3,79000,Individual,Diesel,Manual,17.6,2179,7,1550000
1602,Toyota,Asian,7,151768,Dealer,Diesel,Automatic,12.55,2982,7,1550000
1603,Toyota,Asian,7,44000,Dealer,Diesel,Manual,12.99,2494,7,1550000
1604,Audi,European,8,60000,Dealer,Diesel,Automatic,16.55,1968,5,1550000
1605,Hyundai,Asian,7,67000,Dealer,Diesel,Automatic,13.01,2199,7,1550000
1606,Audi,European,6,70000,Individual,Diesel,Automatic,20.38,1968,5,1550000
1607,Volkswagen,European,11,18000,Dealer,Petrol,Automatic,17.68,1395,4,1549000
1608,Kia,Asian,2,5000,Individual,Diesel,Manual,20.8,1493,5,1549000
1609,Jeep,American,4,52000,Dealer,Diesel,Manual,16.3,1956,5,1549000
1610,Audi,European,6,62000,Dealer,Diesel,Automatic,17.11,1968,5,1549000
1611,Toyota,Asian,3,21000,Dealer,Petrol,Automatic,14.28,1798,5,1549000
1612,Toyota,Asian,4,85000,Individual,Diesel,Manual,13.68,2393,8,1546000
1613,Mitsubishi,Asian,6,73320,Dealer,Diesel,Automatic,13.5,2477,7,1545000
1614,Jeep,American,4,24700,Dealer,Petrol,Automatic,16,1368,5,1545000
1615,Skoda,European,5,37000,Dealer,Petrol,Automatic,14.67,1798,5,1545000
1616,Audi,European,8,55000,Dealer,Diesel,Automatic,14.16,1968,5,1545000
1617,Audi,European,7,64000,Dealer,Diesel,Automatic,17.11,1968,5,1545000
1618,BMW,European,6,35000,Dealer,Diesel,Automatic,22.69,1995,5,1545000
1619,Hyundai,Asian,7,60000,Dealer,Diesel,Automatic,13.01,2199,7,1545000
1620,Kia,Asian,2,25000,Individual,Diesel,Manual,20.8,1493,5,1540000
1621,Toyota,Asian,5,56000,Dealer,Diesel,Manual,13.68,2393,8,1526000
1622,Toyota,Asian,2,50000,Individual,Diesel,Manual,13.68,2393,8,1526000
1623,Audi,European,8,70000,Dealer,Diesel,Automatic,14.16,1968,5,1525000
1624,Toyota,Asian,8,75000,Dealer,Diesel,Automatic,12.55,2982,7,1525000
1625,BMW,European,9,85000,Dealer,Diesel,Automatic,18.48,1995,5,1525000
1626,Tata,Asian,2,40000,Individual,Diesel,Manual,17.6,2179,7,1525000
1627,Kia,Asian,1,9000,Dealer,Diesel,Automatic,17.8,1493,5,1525000
1628,Toyota,Asian,4,50000,Dealer,Petrol,Automatic,14.28,1798,5,1525000
1629,Toyota,Asian,4,50000,Dealer,Petrol,Automatic,14.28,1798,5,1525000
1630,Mercedes-Benz,European,8,125000,Dealer,Petrol,Automatic,12.3,1796,5,1525000
1631,Audi,European,8,95300,Dealer,Diesel,Automatic,15.73,1968,5,1525000
1632,Skoda,European,5,65000,Dealer,Petrol,Automatic,14.67,1798,5,1525000
1633,Honda,Asian,7,59000,Dealer,Petrol,Manual,13.7,1997,5,1525000
1634,Hyundai,Asian,5,28000,Dealer,Petrol,Automatic,14.62,1999,5,1525000
1635,Mahindra,Asian,3,38500,Individual,Diesel,Manual,16.36,2179,7,1520000
1636,Honda,Asian,2,23000,Dealer,Petrol,Automatic,13.9,1799,5,1519000
1637,Skoda,European,5,65000,Dealer,Petrol,Automatic,14.67,1798,5,1515000
1638,Jeep,American,4,17485,Dealer,Petrol,Automatic,16,1368,5,1512000
1639,Toyota,Asian,8,92000,Dealer,Diesel,Manual,12.55,2982,7,1511000
1640,Toyota,Asian,2,35000,Individual,Diesel,Manual,13.68,2393,8,1500000
1641,Mahindra,Asian,3,20000,Individual,Diesel,Manual,16,2179,7,1500000
1642,Tata,Asian,4,50000,Individual,Diesel,Manual,17.6,2179,7,1500000
1643,Toyota,Asian,3,50000,Individual,Diesel,Manual,13.68,2393,8,1500000
1644,Toyota,Asian,5,35512,Dealer,Diesel,Automatic,11.36,2755,7,1500000
1645,Skoda,European,5,20000,Individual,Petrol,Manual,14.12,1798,5,1500000
1646,Toyota,Asian,4,50000,Dealer,Petrol,Manual,11.25,2694,7,1500000
1647,BMW,European,9,200000,Individual,Diesel,Automatic,16.09,1995,5,1500000
1648,Hyundai,Asian,4,55000,Dealer,Diesel,Automatic,18.23,1582,5,1500000
1649,Hyundai,Asian,2,25000,Individual,Diesel,Manual,20.5,1582,5,1500000
1650,Toyota,Asian,8,80000,Dealer,Diesel,Automatic,12.55,2982,7,1500000
1651,Skoda,European,4,40000,Dealer,Petrol,Automatic,15.1,1798,5,1500000
1652,Audi,European,9,80000,Individual,Diesel,Automatic,15.73,1968,5,1500000
1653,BMW,European,8,55000,Dealer,Diesel,Automatic,18.48,1995,5,1500000
1654,Toyota,Asian,5,40000,Individual,Diesel,Manual,13.68,2393,7,1500000
1655,Mahindra,Asian,3,60000,Individual,Diesel,Manual,16,2179,7,1500000
1656,Audi,European,9,52000,Dealer,Diesel,Automatic,16.55,1968,5,1500000
1657,Mahindra,Asian,3,70000,Individual,Diesel,Manual,16.36,2179,7,1500000
1658,Mercedes-Benz,European,8,140000,Dealer,Diesel,Automatic,14.21,2143,5,1500000
1659,Toyota,Asian,5,120000,Individual,Diesel,Automatic,11.36,2755,7,1500000
1660,Jeep,American,3,50000,Individual,Diesel,Manual,17.1,1956,5,1500000
1661,Hyundai,Asian,3,25000,Individual,Diesel,Manual,20.5,1582,5,1500000
1662,Tata,Asian,2,20000,Individual,Diesel,Manual,17,1956,5,1500000
1663,Audi,European,10,38000,Dealer,Diesel,Automatic,16.55,1968,5,1500000
1664,Jeep,American,4,54000,Individual,Diesel,Manual,17.1,1956,5,1500000
1665,Audi,European,8,55500,Dealer,Diesel,Automatic,15.2,1968,5,1500000
1666,Mahindra,Asian,5,59000,Dealer,Diesel,Automatic,16,2179,7,1500000
1667,Mercedes-Benz,European,10,150000,Dealer,Diesel,Automatic,14,2987,5,1500000
1668,Hyundai,Asian,3,40000,Individual,Diesel,Manual,20.5,1582,5,1500000
1669,Tata,Asian,4,25000,Individual,Diesel,Manual,17.6,2179,7,1500000
1670,Mahindra,Asian,3,90000,Individual,Diesel,Manual,16,2179,7,1500000
1671,Jeep,American,4,23450,Individual,Diesel,Manual,16.3,1956,5,1500000
1672,Mercedes-Benz,European,7,50000,Individual,Diesel,Automatic,14.8,2143,5,1500000
1673,Mahindra,Asian,3,40000,Individual,Diesel,Manual,15.1,2179,7,1500000
1674,Toyota,Asian,7,77000,Dealer,Diesel,Manual,12.55,2982,7,1500000
1675,Toyota,Asian,4,100000,Individual,Diesel,Manual,13.68,2393,7,1500000
1676,Hyundai,Asian,2,40000,Individual,Diesel,Manual,20.5,1582,5,1500000
1677,BMW,European,12,65000,Dealer,Petrol,Automatic,7.94,4395,4,1500000
1678,Audi,European,6,40000,Individual,Diesel,Automatic,15.73,1968,5,1500000
1679,Mahindra,Asian,2,52484,Dealer,Diesel,Manual,16.36,2179,7,1500000
1680,Mahindra,Asian,2,16000,Dealer,Diesel,Automatic,15.1,2179,7,1500000
1681,Audi,European,8,59000,Dealer,Diesel,Automatic,14.16,1968,5,1500000
1682,Tata,Asian,2,4000,Dealer,Diesel,Manual,17,1956,5,1500000
1683,Audi,European,8,60000,Individual,Diesel,Automatic,17.68,1968,5,1500000
1684,Hyundai,Asian,4,44000,Individual,Diesel,Manual,18.42,1995,5,1500000
1685,Mahindra,Asian,4,60000,Dealer,Diesel,Manual,15.1,2179,7,1500000
1686,BMW,European,9,76186,Dealer,Petrol,Automatic,12.05,1995,5,1500000
1687,Tata,Asian,2,22000,Individual,Diesel,Manual,17,1956,5,1500000
1688,Toyota,Asian,6,70000,Individual,Diesel,Manual,12.99,2494,7,1500000
1689,Mahindra,Asian,4,25000,Dealer,Diesel,Manual,16,2179,7,1500000
1690,Jeep,American,4,21000,Dealer,Petrol,Automatic,14.1,1368,5,1499000
1691,Volvo,European,6,44000,Dealer,Diesel,Automatic,16.8,1984,5,1499000
1692,Volvo,European,7,57000,Dealer,Diesel,Automatic,13.2,2400,5,1499000
1693,Mercedes-Benz,European,6,58000,Dealer,Diesel,Automatic,17.9,2143,5,1499000
1694,BMW,European,11,64000,Dealer,Petrol,Automatic,8.77,4395,5,1499000
1695,Toyota,Asian,3,38000,Dealer,Diesel,Manual,13.68,2393,8,1497000
1696,Toyota,Asian,4,50000,Dealer,Petrol,Automatic,10.75,2694,8,1495000
1697,Audi,European,8,58000,Dealer,Diesel,Automatic,16.55,1968,5,1495000
1698,Audi,European,6,22800,Dealer,Diesel,Automatic,20.38,1968,5,1495000
1699,Mahindra,Asian,3,45000,Dealer,Diesel,Automatic,15.1,2179,7,1495000
1700,Toyota,Asian,3,26000,Dealer,Petrol,Automatic,14.28,1798,5,1495000
1701,Toyota,Asian,5,100000,Dealer,Diesel,Manual,13.68,2393,8,1495000
1702,Mercedes-Benz,European,7,44500,Dealer,Diesel,Automatic,14.8,2143,5,1495000
1703,Tata,Asian,2,42187,Dealer,Diesel,Manual,17.6,2179,7,1495000
1704,Toyota,Asian,5,39547,Dealer,Petrol,Automatic,14.53,1794,5,1495000
1705,Kia,Asian,1,3500,Dealer,Petrol,Automatic,16.8,1497,5,1490000
1706,Honda,Asian,4,90000,Dealer,Petrol,Automatic,10.1,2354,5,1490000
1707,Mini,European,8,35000,Dealer,Diesel,Automatic,23.8,1998,5,1490000
1708,Skoda,European,5,66000,Dealer,Petrol,Automatic,14.67,1798,5,1490000
1709,Mercedes-Benz,European,9,76500,Dealer,Diesel,Automatic,14.84,2143,5,1490000
1710,Mercedes-Benz,European,7,6800,Dealer,Diesel,Automatic,14.84,2143,5,1490000
1711,Audi,European,7,56000,Dealer,Diesel,Automatic,15.17,1968,5,1490000
1712,MG,Asian,1,1000,Dealer,Petrol,Manual,15.81,1451,5,1490000
1713,Toyota,Asian,4,50000,Dealer,Petrol,Automatic,14.53,1794,5,1490000
1714,Toyota,Asian,5,35500,Dealer,Diesel,Automatic,13.68,2393,7,1490000
1715,Toyota,Asian,8,88251,Dealer,Diesel,Automatic,12.55,2982,7,1490000
1716,Tata,Asian,3,34000,Dealer,Diesel,Automatic,17.6,2179,7,1490000
1717,MG,Asian,1,1000,Dealer,Petrol,Manual,15.81,1451,5,1488000
1718,Audi,European,8,80000,Individual,Petrol,Automatic,15.64,1798,5,1485000
1719,Toyota,Asian,4,27000,Dealer,Diesel,Manual,13.68,2393,7,1485000
1720,Toyota,Asian,4,67000,Individual,Diesel,Automatic,11.36,2755,8,1480000
1721,Volvo,European,6,44000,Dealer,Diesel,Automatic,16.8,1984,5,1480000
1722,Mahindra,Asian,2,60000,Individual,Diesel,Manual,17.3,1497,8,1476000
1723,Audi,European,8,71000,Dealer,Diesel,Automatic,15.73,1968,5,1475000
1724,Toyota,Asian,6,96000,Dealer,Diesel,Manual,13,2982,7,1475000
1725,Honda,Asian,5,56000,Dealer,Petrol,Automatic,12,2354,5,1475000
1726,Jeep,American,4,46706,Dealer,Diesel,Manual,17.1,1956,5,1475000
1727,Audi,European,8,39317,Dealer,Diesel,Automatic,15.73,1968,5,1475000
1728,Mercedes-Benz,European,7,54000,Dealer,Diesel,Automatic,10,2148,5,1475000
1729,Mahindra,Asian,1,2200,Individual,Diesel,Manual,15.1,2179,7,1475000
1730,Toyota,Asian,9,134213,Dealer,Diesel,Manual,12.55,2982,7,1475000
1731,Mitsubishi,Asian,6,60060,Dealer,Diesel,Automatic,13.5,2477,7,1475000
1732,Toyota,Asian,7,80002,Dealer,Diesel,Automatic,11.5,2982,7,1475000
1733,Mahindra,Asian,2,22360,Dealer,Diesel,Automatic,15.1,2179,7,1475000
1734,Mercedes-Benz,European,7,75000,Dealer,Diesel,Automatic,14.84,2143,5,1475000
1735,Toyota,Asian,5,18000,Dealer,Petrol,Manual,11.25,2694,7,1475000
1736,Tata,Asian,2,12000,Dealer,Diesel,Manual,17,1956,5,1475000
1737,Mercedes-Benz,European,6,7000,Dealer,Diesel,Automatic,15,2147,5,1475000
1738,Mercedes-Benz,European,7,80000,Dealer,Diesel,Automatic,14.84,2143,5,1475000
1739,Hyundai,Asian,7,75000,Dealer,Diesel,Manual,14.74,2199,7,1475000
1740,Mahindra,Asian,4,30000,Dealer,Diesel,Manual,16,2179,7,1475000
1741,Audi,European,9,80000,Dealer,Diesel,Automatic,16.55,1968,5,1475000
1742,Mercedes-Benz,European,8,66000,Dealer,Diesel,Automatic,14.84,2143,5,1475000
1743,Jeep,American,3,20000,Individual,Petrol,Manual,16,1368,5,1472000
1744,Toyota,Asian,5,65300,Dealer,Petrol,Automatic,12.98,2494,5,1471000
1745,Toyota,Asian,3,20000,Individual,Petrol,Manual,14.28,1798,5,1467000
1746,BMW,European,8,105000,Dealer,Diesel,Automatic,18.88,1995,5,1465000
1747,Volvo,European,7,55000,Dealer,Diesel,Automatic,13.2,2400,5,1465000
1748,Mahindra,Asian,4,22500,Individual,Diesel,Manual,16.36,2179,7,1465000
1749,Volvo,European,7,55000,Dealer,Diesel,Automatic,13.2,2400,5,1465000
1750,Mahindra,Asian,2,30000,Individual,Diesel,Manual,17.3,1497,7,1460000
1751,BMW,European,8,69000,Dealer,Diesel,Automatic,18.88,1995,5,1460000
1752,Mercedes-Benz,European,11,50312,Dealer,Diesel,Automatic,13.5,2987,5,1455000
1753,Toyota,Asian,4,52300,Dealer,Diesel,Manual,13.68,2393,7,1450000
1754,Mahindra,Asian,5,35000,Individual,Diesel,Automatic,15.4,2179,7,1450000
1755,Isuzu,Asian,4,58132,Dealer,Diesel,Manual,12.4,2499,5,1450000
1756,Mahindra,Asian,2,31000,Individual,Diesel,Manual,15.1,2179,7,1450000
1757,Audi,European,8,45000,Dealer,Diesel,Automatic,15.73,1968,5,1450000
1758,Toyota,Asian,9,130000,Dealer,Diesel,Automatic,12.55,2982,7,1450000
1759,Mercedes-Benz,European,10,40000,Dealer,Diesel,Automatic,10,2148,5,1450000
1760,Tata,Asian,4,30000,Individual,Diesel,Automatic,17.6,2179,7,1450000
1761,Jeep,American,4,25216,Dealer,Petrol,Automatic,16,1368,5,1450000
1762,Mercedes-Benz,European,9,112000,Dealer,Diesel,Automatic,14.84,2143,5,1450000
